==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.bertiMcmc_pythia_sms_default.csv
Experiment : results/1C.fullBW.berti_pythia_sms_4096sets_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.1975     | 0.2094     | 1.0603    *
Graph/GAP/bc-12                                                                             | 0.1805     | 0.1897     | 1.0510    *
Graph/GAP/bfs-10                                                                            | 0.7474     | 0.7141     | 0.9554   
Graph/GAP/bfs-14                                                                            | 0.8013     | 0.7876     | 0.9829   
Graph/GAP/cc-13                                                                             | 0.3802     | 0.3767     | 0.9908   
Graph/GAP/cc-14                                                                             | 0.4317     | 0.4294     | 0.9947   
Graph/GAP/cc-5                                                                              | 0.4990     | 0.4982     | 0.9984   
Graph/GAP/sssp-10                                                                           | 0.6581     | 0.6573     | 0.9988   
Graph/GAP/sssp-14                                                                           | 0.6557     | 0.6567     | 1.0015    *
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2380     | 2.2500     | 1.0054    *
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.0840     | 1.1140     | 1.0277    *
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0360     | 1.0550     | 1.0183    *
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0060     | 1.0280     | 1.0219    *
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.8950     | 0.9130     | 1.0201    *
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2380     | 2.2530     | 1.0067    *
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.3770     | 1.4100     | 1.0240    *
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.2460     | 2.2120     | 0.9849   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7545     | 0.7732     | 1.0248    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5657     | 0.5800     | 1.0253    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5585     | 0.5708     | 1.0220    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4720     | 1.4510     | 0.9857   
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M                 | 1.9300     | 1.9600     | 1.0155    *
Graph/Ligra/ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M           | 1.4690     | 1.3980     | 0.9517   
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M                   | 1.8240     | 1.8520     | 1.0154    *
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M                   | 1.0060     | 1.0330     | 1.0268    *
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M   | 1.9320     | 1.9600     | 1.0145    *
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M   | 0.4236     | 0.4251     | 1.0035    *
Graph/Ligra/ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M            | 1.6280     | 1.5410     | 0.9466   
