==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.berti_pythia_sms_default.csv
Experiment : results/1C.fullBW.berti_pythia_sms_4096sets_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.2092     | 0.2094     | 1.0010    *
Graph/GAP/bc-12                                                                             | 0.1898     | 0.1897     | 0.9995   
Graph/GAP/bfs-10                                                                            | 0.7285     | 0.7141     | 0.9802   
Graph/GAP/bfs-14                                                                            | 0.7841     | 0.7876     | 1.0045    *
Graph/GAP/cc-13                                                                             | 0.3774     | 0.3767     | 0.9981   
Graph/GAP/cc-14                                                                             | 0.4284     | 0.4294     | 1.0023    *
Graph/GAP/cc-5                                                                              | 0.4973     | 0.4982     | 1.0018    *
Graph/GAP/sssp-10                                                                           | 0.6549     | 0.6573     | 1.0037    *
Graph/GAP/sssp-14                                                                           | 0.6549     | 0.6567     | 1.0027    *
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2510     | 2.2500     | 0.9996   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.1140     | 1.1140     | 1.0000    
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0550     | 1.0550     | 1.0000    
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0290     | 1.0280     | 0.9990   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.9131     | 0.9130     | 0.9999   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2540     | 2.2530     | 0.9996   
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.4100     | 1.4100     | 1.0000    
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.2110     | 2.2120     | 1.0005    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7734     | 0.7732     | 0.9997   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5800     | 0.5800     | 1.0000    
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5713     | 0.5708     | 0.9991   
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4500     | 1.4510     | 1.0007    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M                 | 1.9720     | 1.9600     | 0.9939   
Graph/Ligra/ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M           | 1.3980     | 1.3980     | 1.0000    
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M                   | 1.8530     | 1.8520     | 0.9995   
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M                   | 1.0340     | 1.0330     | 0.9990   
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M   | 1.9590     | 1.9600     | 1.0005    *
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M   | 0.4243     | 0.4251     | 1.0019    *
Graph/Ligra/ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M            | 1.5400     | 1.5410     | 1.0006    *
Graph/Ligra/ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M                   | 1.5410     | 1.5410     | 1.0000    
Graph/Ligra/ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M                   | 2.0200     | 2.0160     | 0.9980   
Graph/Ligra/ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M              | 1.1800     | 1.1740     | 0.9949   
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M         | 1.9510     | 1.9500     | 0.9995   
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M         | 1.0560     | 1.0580     | 1.0019    *
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M          | 1.0670     | 1.0670     | 1.0000    
Graph/Ligra/ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M                 | 0.9771     | 0.9626     | 0.9852   
Graph/Ligra/ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M                 | 0.2863     | 0.2861     | 0.9993   
Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M              | 0.7722     | 0.7583     | 0.9820   
SPEC17/602.gcc_s-1850B                                                                      | 1.3880     | 1.3890     | 1.0007    *
SPEC17/602.gcc_s-734B                                                                       | 2.0120     | 2.0020     | 0.9950   
SPEC17/603.bwaves_s-1740B                                                                   | 2.5010     | 2.4980     | 0.9988   
SPEC17/603.bwaves_s-891B                                                                    | 1.6740     | 1.6740     | 1.0000    
SPEC17/605.mcf_s-1536B                                                                      | 0.7851     | 0.7962     | 1.0141    *
SPEC17/605.mcf_s-1554B                                                                      | 0.6752     | 0.6786     | 1.0050    *
SPEC17/605.mcf_s-1644B                                                                      | 0.2239     | 0.2240     | 1.0004    *
SPEC17/605.mcf_s-472B                                                                       | 0.7404     | 0.7409     | 1.0007    *
SPEC17/605.mcf_s-484B                                                                       | 0.8545     | 0.8510     | 0.9959   
SPEC17/607.cactuBSSN_s-2421B                                                                | 2.7440     | 2.7420     | 0.9993   
SPEC17/619.lbm_s-2676B                                                                      | 1.0970     | 1.0970     | 1.0000    
SPEC17/619.lbm_s-2677B                                                                      | 0.6134     | 0.6133     | 0.9998   
SPEC17/620.omnetpp_s-874B                                                                   | 0.5523     | 0.5543     | 1.0036    *
SPEC17/621.wrf_s-6673B                                                                      | 2.2760     | 2.2960     | 1.0088    *
SPEC17/623.xalancbmk_s-10B                                                                  | 0.5964     | 0.6021     | 1.0096    *
SPEC17/649.fotonik3d_s-1176B                                                                | 3.3320     | 3.3310     | 0.9997   
SPEC17/649.fotonik3d_s-7084B                                                                | 2.6960     | 2.6990     | 1.0011    *
SPEC17/654.roms_s-293B                                                                      | 2.7800     | 2.7800     | 1.0000    
SPEC17/654.roms_s-294B                                                                      | 2.5740     | 2.5750     | 1.0004    *
SPEC17/654.roms_s-523B                                                                      | 1.6800     | 1.6780     | 0.9988   
ai-ml/bark.cpp-bark-small.coarse_token_gen.1                                                | 3.2580     | 3.2580     | 1.0000    
ai-ml/bark.cpp-bark-small.coarse_token_gen.2                                                | 3.0790     | 3.0810     | 1.0006    *
ai-ml/bark.cpp-bark-small.coarse_token_gen.4                                                | 2.6510     | 2.6570     | 1.0023    *
ai-ml/bark.cpp-bark-small.coarse_token_gen.5                                                | 1.8890     | 1.8930     | 1.0021    *
ai-ml/biogpt.cpp-ggml-model-tocilizumab.1                                                   | 0.5891     | 0.5884     | 0.9988   
ai-ml/biogpt.cpp-ggml-model-tocilizumab.2                                                   | 0.5969     | 0.5967     | 0.9997   
ai-ml/biogpt.cpp-ggml-model-tocilizumab.3                                                   | 0.5935     | 0.5917     | 0.9970   
ai-ml/clip_trace_1                                                                          | 3.5350     | 3.5350     | 1.0000    
ai-ml/clip_trace_3                                                                          | 3.2120     | 3.2130     | 1.0003    *
ai-ml/llama2.c-stories110M.1                                                                | 1.9410     | 1.9450     | 1.0021    *
ai-ml/llama2.c-stories110M.2                                                                | 1.9330     | 1.9330     | 1.0000    
ai-ml/llama2.c-stories110M.3                                                                | 1.9220     | 1.9230     | 1.0005    *
ai-ml/llama2.c-stories15M.1                                                                 | 2.2320     | 2.1930     | 0.9825   
