==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.baseline_baseline.csv
Experiment : results/1C.fullBW.ipcp_pythia_sms_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.2070     | 0.2089     | 1.0092    *
Graph/GAP/bc-12                                                                             | 0.1889     | 0.1931     | 1.0222    *
Graph/GAP/bfs-10                                                                            | 0.6239     | 0.6909     | 1.1074    *
Graph/GAP/bfs-14                                                                            | 0.7233     | 0.8076     | 1.1165    *
Graph/GAP/cc-13                                                                             | 0.4180     | 0.3385     | 0.8098   
Graph/GAP/cc-14                                                                             | 0.4718     | 0.3869     | 0.8201   
Graph/GAP/cc-5                                                                              | 0.5468     | 0.4575     | 0.8367   
Graph/GAP/sssp-10                                                                           | 0.7219     | 0.5956     | 0.8250   
Graph/GAP/sssp-14                                                                           | 0.7163     | 0.5956     | 0.8315   
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2180     | 2.2330     | 1.0068    *
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.1290     | 1.0840     | 0.9601   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0790     | 0.9423     | 0.8733   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0390     | 1.0050     | 0.9673   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.9298     | 0.8916     | 0.9589   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2130     | 2.2400     | 1.0122    *
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.3910     | 1.3870     | 0.9971   
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.1880     | 2.2190     | 1.0142    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7656     | 0.7617     | 0.9949   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5616     | 0.5739     | 1.0219    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5531     | 0.5628     | 1.0175    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4190     | 1.4480     | 1.0204    *
