Summary for 1C.fullBW.baseline_updatePythia
======================================================================================================================================================
Filename                                                                                   L1D_LOAD_Access  L1D_LOAD_MissRate(%)  L1D_PREFETCH_Access  L1D_PREFETCH_MissRate(%)  L2C_LOAD_Access  L2C_LOAD_MissRate(%)  L2C_PREFETCH_Access  L2C_PREFETCH_MissRate(%)  LLC_LOAD_Access  LLC_LOAD_MissRate(%)  LLC_PREFETCH_Access  LLC_PREFETCH_MissRate(%)  IPC
                                                                           Graph_GAP_bc-0 50836211         33.59                  6393073             93.08                     16611429         59.31                  41677708            63.38                     9580811           57.51                23293465              64.85                    0.21
                                                                          Graph_GAP_bc-12 53461455         30.99                  7549163             92.90                     16154352         62.95                  46503733            67.36                     9782843           57.97                26904136              66.67                    0.19
                                                                         Graph_GAP_bfs-10 41553262          8.07                  4657538             79.84                      2763632         18.37                  25193869            21.88                      450981           94.87                 4563643              93.02                    0.64
                                                                         Graph_GAP_bfs-14 39998426          6.59                  4243953             82.45                      2207866         21.51                  24455610            30.51                      417910           86.09                 4479571              89.70                    0.71
                                                                          Graph_GAP_cc-13 52929085         28.04                  4645650             73.55                     14341207         33.55                  28439384            36.66                     4766840           29.70                 9387784              39.03                    0.41
                                                                          Graph_GAP_cc-14 51498210         28.04                  4665871             69.32                     13972649         33.73                  28119799            36.19                     4667611           29.40                 9083090              39.28                    0.47
                                                                           Graph_GAP_cc-5 50308264         28.27                  4640702             66.15                     13712076         33.31                  27454287            35.00                     4527709           29.53                 8507443              39.43                    0.55
                                                                        Graph_GAP_sssp-10 48957787         20.00                  4142115             89.89                      9086549         42.26                  26361932            44.37                     3694059           32.38                 9625989              43.78                    0.72
                                                                        Graph_GAP_sssp-14 49352280         19.86                  4363717             87.55                      9049884         42.82                  26829436            45.34                     3723187           32.18                 9928360              43.54                    0.72
                   Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4 24636501          3.80                   428439             89.76                       221676         59.79                   2137499            82.36                       36257          100.00                  488837             100.00                    2.21
      Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367 39077361         11.36                  1374073             40.43                      3639159         26.24                   4675428            26.44                      941071           64.38                 1134375              68.83                    1.13
       Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80 37884439         12.75                  1843038             38.44                      3807601         31.54                   5442613            30.66                     1176374           65.83                 1490986              70.95                    1.08
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236 45567844          4.20                   275565             70.11                      1527953         39.28                   1946665            43.78                      591002           54.20                  756979              62.09                    1.04
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248 45613768          6.24                   350001             77.38                      2201018         42.83                   2794047            47.36                      923347           49.54                 1171302              58.30                    0.93
               Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4 24648356          4.18                   422493             91.74                       229532         68.57                   2840117            85.93                       41371          100.00                  483691             100.00                    2.21
                      Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291 31556931          1.28                   589413             54.49                       254351         51.07                   2252595            41.89                      123003           99.43                  601119              99.46                    1.39
       Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852 44440686          1.02                  1367199             99.96                        22517         83.08                   8507937            20.13                       18682           22.40                 1166240              24.49                    2.19
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117 34341484          2.93                  1423247             88.16                       664393         62.88                   7964013            50.93                      402777           99.40                 2159001              99.50                    0.77
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137 38248012          5.23                  2431981             78.09                      1344275         62.22                  12589407            58.37                      781669           99.52                 3603515              99.58                    0.56
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360 38647918          5.71                  2517591             76.27                      1532203         65.46                  12808257            58.78                      948459           93.36                 3757428              98.99                    0.55
