Summary for 1C.fullBW.nextline_pythia_sms_s20_pfrefill
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                                                                           Graph_GAP_bc-0    75769             0       0           0            50150689      17886323       49568066    18471345     16968474      10372273       73594268    45537589     10049381      5722705        85532934    51984999     0.19
                                                                          Graph_GAP_bc-12   458959             0       0           0            52921270      17128716       50310447    16954648     16491586      10518449       74232525    47974904     10075160      5881645        89291645    56383625     0.17
                                                                         Graph_GAP_bfs-10  8935182            16       0           0            41080013       3248939       38412931     8012260      2940709        420079       32929459     5841863       371637       236726        10906444     7909939     0.76
                                                                         Graph_GAP_bfs-14  9888083            16       0           0            39655679       2462567       36528542     7535531      2334211        406568       28242757     5869312       355417       214053        10413385     7281042     0.83
                                                                          Graph_GAP_cc-13  1958565             0       0           0            48912800      15129869       45070371    14909131     14722292       5347724       54930340    20680720      5278321      1719460        40254340    13502227     0.37
                                                                          Graph_GAP_cc-14  2072446             0       0           0            47007405      14696107       41680394    13809100     14309245       5219590       51972984    19498457      5151355      1689773        38080347    12918591     0.42
                                                                           Graph_GAP_cc-5  2450269             0       0           0            45223499      14523401       39148752    13258130     14112629       5066828       51111590    18367365      5009330      1652886        35889755    12269969     0.48
                                                                        Graph_GAP_sssp-10 17649569             0       0           0            46998359      10160286       30301416     8454400      9233616       4175419       36823111    16474560      4007198      1487110        31144034    12368905     0.64
                                                                        Graph_GAP_sssp-14 17600468             0       0           0            45849287       9726392       32351431     8894145      9194367       4123103       39506129    17725891      3933542      1432721        32649611    12888353     0.64
                   Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4 19074246           139       0           0            24763735        928857       19502788      346227       347925         95671        2659708     1278709        31215        22204         1001383      751107     2.19
      Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367 19660441             0       0           0            38715492       5325321       34287652     4337048      4191119       1023363       10683619     2710626      1002565       609167         5277782     3250846     1.01
       Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80 17327339             0       0           0            37438779       5772697       33396334     4968470      4448836       1307756       12208283     3576025      1276314       819511         6793487     4398377     0.95
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236  1638045             0       0           0            44405201       2165962       40634300     1768881      1665923        629813        4154124     1808637       612419       312325         3559882     1897023     0.96
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248  1524425             0       0           0            44508899       3167731       40578006     2594029      2399404        997965        6127782     2868121       967901       464492         5608194     2847794     0.85
               Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4 19076264           142       0           0            24443388        918541       19122593      348413       346204         95342        2659059     1279677        31144        22037         1000912      750902     2.14
                      Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291  5015028            18       0           0            30929641        593010       29546425      731670       424614        136812        3568606     1177864       128497       114142         2012277     1596255     1.34
       Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852 44328093             0       0           0            43172791          3093       43156082     4047031          848           222        8533597     1296266          189           98         2330801      610976     2.25
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117    56532             0       0           0            34066176       1742440       33817329     2195961      1457661        449582       13203841     4703374       424514       397815         7266132     5874638     0.73
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137    17810             0       0           0            37744162       2808724       37455015     3668907      2366695        874347       20318278     8610080       796464       751733        12494999    10263843     0.54
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360    91314             7       0           0            38340894       3096722       38083235     3992683      2552589       1043387       20814136     9255313       961349       909751        13458762    11281463     0.53
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M 11166280             9       0           0            13832268        668437        8376838     3373144       267919          8659        9376514     2746681         4841         1483         3001575     1943683     1.46
