Summary for 1C.fullBW.nopref_baseline
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_MR  L1I_PF_Acc  L1I_PF_MR  L1D_LOAD_Acc  L1D_LOAD_MR  L1D_PF_Acc  L1D_PF_MR  L2C_LOAD_Acc  L2C_LOAD_MR  L2C_PF_Acc  L2C_PF_MR  LLC_LOAD_Acc  LLC_LOAD_MR  LLC_PF_Acc  LLC_PF_MR  IPC
                                                                           Graph_GAP_bc-0    76250       0.00        0           0.00       51140249      37.65        0           0.00       17585720       52.78       0           0.00        9281840       60.38       0           0.00       0.20
                                                                          Graph_GAP_bc-12   460678       0.00        0           0.00       53787307      33.70        0           0.00       17226510       55.85       0           0.00        9620240       59.52       0           0.00       0.19
                                                                         Graph_GAP_bfs-10  9048654       0.00        0           0.00       41661408      21.58        0           0.00        5054328       62.01       0           0.00        3134123       92.54       0           0.00       0.26
                                                                         Graph_GAP_bfs-14  9990594       0.00        0           0.00       40122728      21.94        0           0.00        4559956       67.77       0           0.00        3090163       89.81       0           0.00       0.28
                                                                          Graph_GAP_cc-13  2215759       0.00        0           0.00       54002294      34.98        0           0.00       15265919       30.93       0           0.00        4722367       41.96       0           0.00       0.35
                                                                          Graph_GAP_cc-14  2337847       0.00        0           0.00       53015379      36.35        0           0.00       14881523       31.04       0           0.00        4619472       41.96       0           0.00       0.39
                                                                           Graph_GAP_cc-5  2764920       0.00        0           0.00       52075194      37.65        0           0.00       14628119       30.85       0           0.00        4512083       42.13       0           0.00       0.44
                                                                        Graph_GAP_sssp-10 17663698       0.00        0           0.00       51185312      34.88        0           0.00       10375315       41.07       0           0.00        4260892       50.96       0           0.00       0.54
                                                                        Graph_GAP_sssp-14 17610667       0.00        0           0.00       51425941      34.90        0           0.00       10363075       41.23       0           0.00        4272195       50.71       0           0.00       0.53
                   Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4 18969415       0.00        0           0.00       25197537       8.95        0           0.00         524663      100.00       0           0.00         524663      100.00       0           0.00       1.99
      Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367 19543367       0.00        0           0.00       39327722      13.88        0           0.00        3872107       26.35       0           0.00        1020135       66.31       0           0.00       1.13
       Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80 17145364       0.00        0           0.00       38118718      15.60        0           0.00        4074938       29.50       0           0.00        1201950       65.91       0           0.00       1.10
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236  1633787       0.00        0           0.00       45737110       5.46        0           0.00        1597649       43.08       0           0.00         688233       60.60       0           0.00       1.01
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248  1507446       0.00        0           0.00       45850911       7.83        0           0.00        2291364       46.49       0           0.00        1065236       54.74       0           0.00       0.90
               Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4 18967288       0.00        0           0.00       25192097       8.93        0           0.00         524664      100.00       0           0.00         524664      100.00       0           0.00       2.00
                      Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291  4993475       0.00        0           0.00       31612592       3.01        0           0.00         418095       94.59       0           0.00         395479       99.31       0           0.00       1.15
       Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852 44536441       0.00        0           0.00       44393695      27.90        0           0.00        1389085       85.27       0           0.00        1184415       24.87       0           0.00       1.86
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117    56698       0.00        0           0.00       34633146      13.35        0           0.00        1561095       98.91       0           0.00        1544129       99.38       0           0.00       0.49
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137    20156       0.00        0           0.00       38252878      13.23        0           0.00        2526495       99.20       0           0.00        2506408       99.55       0           0.00       0.35
