==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.baseline_baseline.csv
Experiment : results/1C.fullBW.berti_pythia_sms_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.2070     | 0.2092     | 1.0106    *
Graph/GAP/bc-12                                                                             | 0.1889     | 0.1898     | 1.0048    *
Graph/GAP/bfs-10                                                                            | 0.6239     | 0.7285     | 1.1677    *
Graph/GAP/bfs-14                                                                            | 0.7233     | 0.7841     | 1.0841    *
Graph/GAP/cc-13                                                                             | 0.4180     | 0.3774     | 0.9029   
Graph/GAP/cc-14                                                                             | 0.4718     | 0.4284     | 0.9080   
Graph/GAP/cc-5                                                                              | 0.5468     | 0.4973     | 0.9095   
Graph/GAP/sssp-10                                                                           | 0.7219     | 0.6549     | 0.9072   
Graph/GAP/sssp-14                                                                           | 0.7163     | 0.6549     | 0.9143   
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2180     | 2.2510     | 1.0149    *
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.1290     | 1.1140     | 0.9867   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0790     | 1.0550     | 0.9778   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0390     | 1.0290     | 0.9904   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.9298     | 0.9131     | 0.9820   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2130     | 2.2540     | 1.0185    *
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.3910     | 1.4100     | 1.0137    *
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.1880     | 2.2110     | 1.0105    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7656     | 0.7734     | 1.0102    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5616     | 0.5800     | 1.0328    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5531     | 0.5713     | 1.0329    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4190     | 1.4500     | 1.0218    *
